==6899== NVPROF is profiling process 6899, command: ./nn filelist_4 -r 5 -lat 30 -lng 90
==6899== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==6899== Profiling application: ./nn filelist_4 -r 5 -lat 30 -lng 90
==6899== Profiling result:
==6899== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"prof_trigger_04",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"prof_trigger_05",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"prof_trigger_06",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"prof_trigger_07",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"warps_launched",1344,1344,1344,9408
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"inst_issued0",87531,88160,87860,615021
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"inst_issued1",49257,49279,49268,344880
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"inst_issued2",2674,2674,2674,18718
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"inst_executed",52227,52227,52227,365589
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"thread_inst_executed",1670724,1670724,1670724,11695068
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"not_predicated_off_thread_inst_executed",1627960,1627960,1627960,11395720
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"global_load",2674,2674,2674,18718
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"global_store",1337,1337,1337,9359
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"generic_load",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"generic_store",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"inst_executed_in_trap",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"active_cycles_in_trap",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"local_store",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"local_load",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"shared_load",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"shared_store",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"inst_executed_shared_atom_cas",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"shared_atom",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"global_atom_cas",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"atom_count",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"gred_count",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"divergent_branch",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"branch",5355,5355,5355,37485
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"shared_ld_bank_conflict",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"shared_st_bank_conflict",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"shared_ld_transactions",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"shared_st_transactions",0,0,0,0
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"active_cycles",70158,70455,70294,492060
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"elapsed_cycles_sm",366462,464516,431902,3023314
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"active_warps",1638829,2922707,1860459,13023217
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"active_cycles_pm",45593,46227,45936,321553
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"active_warps_pm",1848804,1888480,1867998,13075992
"Tesla P100-SXM2-16GB (0)","euclid(latLong*, float*, int, float, float)",7,"elapsed_cycles_pm",182922,227204,208121,1456851
