==6730== NVPROF is profiling process 6730, command: ./myocyte 100 1 0
==6730== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==6730== Profiling application: ./myocyte 100 1 0
==6730== Profiling result:
==6730== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"prof_trigger_04",0,0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"prof_trigger_05",0,0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"prof_trigger_06",0,0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"prof_trigger_07",0,0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"warps_launched",2,2,2,2356
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"inst_issued0",55609,89442,57729,68005532
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"inst_issued1",8155,9230,8339,9823821
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"inst_issued2",439,531,451,531547
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"inst_executed",8995,10245,9194,10830671
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"thread_inst_executed",9708,10958,9907,11670874
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"not_predicated_off_thread_inst_executed",9222,10390,9415,11091674
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"global_load",106,106,106,124868
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"global_store",94,94,94,110732
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"generic_load",0,0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"generic_store",0,0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"inst_executed_in_trap",0,0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"active_cycles_in_trap",0,0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"local_store",0,0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"local_load",0,0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",1178,"shared_load",0,0,0,0
